timestamp,mse,threshold,status
1774379691.9930995,0.000722,2.520791,NORMAL
1774379692.0864515,0.000722,2.520791,NORMAL
1774379692.1835241,0.000722,2.520791,NORMAL
1774379692.2528617,0.000722,2.520791,NORMAL
1774379692.3574276,0.000722,2.520791,NORMAL
1774379692.4469218,0.000722,2.520791,NORMAL
1774379692.5149875,0.000722,2.520791,NORMAL
1774379692.5943398,0.000722,2.520791,NORMAL
1774379692.663539,0.000722,2.520791,NORMAL
1774379692.7388,0.000722,2.520791,NORMAL
1774379692.8211405,0.000722,2.520791,NORMAL
1774379692.8982844,0.000722,2.520791,NORMAL
1774379692.9790962,0.000722,2.520791,NORMAL
1774379693.060827,0.000722,2.520791,NORMAL
1774379693.1687505,0.000722,2.520791,NORMAL
1774379693.2360835,0.000722,2.520791,NORMAL
1774379693.3153257,0.000722,2.520791,NORMAL
1774379693.3999314,0.000722,2.520791,NORMAL
1774379693.5254362,0.000722,2.520791,NORMAL
1774379693.6244938,0.000722,2.520791,NORMAL
1774379693.706215,0.000722,2.520791,NORMAL
1774379693.7945771,0.000722,2.520791,NORMAL
1774379693.8735244,0.000722,2.520791,NORMAL
1774379694.000515,0.000722,2.520791,NORMAL
1774379694.0982718,0.000722,2.520791,NORMAL
1774379694.1928263,0.000722,2.520791,NORMAL
1774379694.270483,0.000722,2.520791,NORMAL
1774379694.3797092,0.000722,2.520791,NORMAL
1774379694.47898,0.000722,2.520791,NORMAL
1774379694.558662,0.000722,2.520791,NORMAL
1774379694.6601248,0.000722,2.520791,NORMAL
1774379694.7548487,0.000722,2.520791,NORMAL
1774379694.8363564,0.000722,2.520791,NORMAL
1774379694.9343264,0.000722,2.520791,NORMAL
1774379695.037216,0.000722,2.520791,NORMAL
1774379695.1456285,0.000722,2.520791,NORMAL
1774379695.2323308,0.000722,2.520791,NORMAL
1774379695.3162072,0.000722,2.520791,NORMAL
1774379695.4076872,0.000722,2.520791,NORMAL
1774379695.5264857,0.000722,2.520791,NORMAL
1774379695.647449,0.000722,2.520791,NORMAL
1774379695.7807002,0.000722,2.520791,NORMAL
1774379695.936939,0.000722,2.520791,NORMAL
1774379696.0487552,0.000722,2.520791,NORMAL
1774379696.1628647,0.000722,2.520791,NORMAL
1774379696.2498858,0.000722,2.520791,NORMAL
1774379696.342881,0.000722,2.520791,NORMAL
1774379696.4242616,0.000722,2.520791,NORMAL
1774379696.5175445,0.000722,2.520791,NORMAL
1774379696.6064472,0.000722,2.520791,NORMAL
1774379696.684906,0.000722,2.520791,NORMAL
1774379696.7589357,0.000722,2.520791,NORMAL
1774379696.8372376,0.000722,2.520791,NORMAL
1774379696.9363382,0.000722,2.520791,NORMAL
1774379697.0579016,0.000722,2.520791,NORMAL
1774379697.138673,0.000722,2.520791,NORMAL
1774379697.204133,0.000722,2.520791,NORMAL
1774379697.2742362,0.000722,2.520791,NORMAL
1774379697.3542354,0.000722,2.520791,NORMAL
1774379697.427133,0.000722,2.520791,NORMAL
1774379697.4972575,0.000722,2.520791,NORMAL
1774379697.6135447,0.000722,2.520791,NORMAL
1774379697.6845706,0.000722,2.520791,NORMAL
1774379697.7546062,0.000722,2.520791,NORMAL
1774379697.82953,0.000722,2.520791,NORMAL
1774379697.9285932,0.000722,2.520791,NORMAL
1774379698.0115077,0.000722,2.520791,NORMAL
1774379698.097476,0.000722,2.520791,NORMAL
1774379698.170169,0.000722,2.520791,NORMAL
1774379698.2461112,0.000722,2.520791,NORMAL
1774379698.3281462,0.000722,2.520791,NORMAL
1774379698.4050555,0.000722,2.520791,NORMAL
1774379698.4757278,0.000722,2.520791,NORMAL
1774379698.549574,0.000722,2.520791,NORMAL
1774379698.6315677,0.000722,2.520791,NORMAL
1774379698.7076159,0.000722,2.520791,NORMAL
1774379698.8028502,0.000722,2.520791,NORMAL
1774379698.8683724,0.000722,2.520791,NORMAL
1774379698.9324422,0.000722,2.520791,NORMAL
1774379698.9962862,0.000722,2.520791,NORMAL
1774379699.077559,0.000722,2.520791,NORMAL
1774379699.1623785,0.000722,2.520791,NORMAL
1774379699.225644,0.000722,2.520791,NORMAL
1774379699.292746,0.000722,2.520791,NORMAL
1774379699.3603103,0.000722,2.520791,NORMAL
1774379699.439834,0.000722,2.520791,NORMAL
1774379699.529797,0.000722,2.520791,NORMAL
1774379699.6022806,0.000722,2.520791,NORMAL
1774379699.6869063,0.000722,2.520791,NORMAL
1774379699.7643178,0.000722,2.520791,NORMAL
1774379699.8463664,0.000722,2.520791,NORMAL
1774379699.950947,0.000722,2.520791,NORMAL
1774379700.037714,0.000722,2.520791,NORMAL
1774379700.138876,0.000722,2.520791,NORMAL
1774379700.2090776,0.000722,2.520791,NORMAL
1774379700.2845032,0.000722,2.520791,NORMAL
1774379700.3550503,0.000722,2.520791,NORMAL
1774379700.4139135,0.000722,2.520791,NORMAL
1774379700.4924412,0.000722,2.520791,NORMAL
1774379700.5629463,0.000722,2.520791,NORMAL
1774379700.638602,0.000722,2.520791,NORMAL
1774379700.7207756,0.000722,2.520791,NORMAL
1774379700.7959535,0.000722,2.520791,NORMAL
