timestamp,accel_x,accel_y,accel_z,ang_vel_x,ang_vel_y,ang_vel_z
4303.029761724,4.408269882202148,-0.009703793562948704,11.079318046569824,-3.1638352083973587e-05,-0.022141242399811745,0.00061179103795439
4303.079761725,4.475905418395996,-0.09194440394639969,10.126967430114746,3.33609277731739e-05,-0.026707280427217484,-0.0026821037754416466
4303.129761726,3.828737735748291,0.05672764778137207,9.760225296020508,-6.667061825282872e-06,-0.0219456534832716,-0.0004220489936415106
4303.179761727,3.778472900390625,0.016742253676056862,9.68325138092041,-2.341865183552727e-06,-0.01817445456981659,-0.0008232361287809908
4303.229761727,3.6158013343811035,0.038853809237480164,9.673824310302734,9.918712021317333e-05,-0.013431834988296032,0.0016266480088233948
4303.279761728,4.321922779083252,0.014766274020075798,9.730314254760742,3.775616278289817e-05,-0.011804119683802128,0.002888309769332409
4303.329761729,4.596811294555664,0.021661395207047462,9.729668617248535,1.4519509932142682e-06,-0.009042554534971714,9.603025682736188e-05
4303.37976173,5.050998687744141,0.0037528786342591047,9.757282257080078,-1.1725314834620804e-06,-0.008152609691023827,0.00034554314333945513
4303.42976173,5.354463577270508,0.016006330028176308,9.759416580200195,6.418449629563838e-07,-0.006536668166518211,0.0011196910636499524
4303.479761731,5.877680778503418,-0.048270098865032196,9.778554916381836,-0.00018364172137808055,-0.006164495833218098,-9.927835344569758e-05
4303.529761732,5.920154094696045,-0.03525089845061302,9.759224891662598,-5.54375619685743e-05,-0.004451379179954529,-0.00030732789309695363
4303.579761733,5.59178352355957,-0.010614652186632156,9.745976448059082,-2.4488463168381713e-06,-0.0027978522703051567,-0.00037047400837764144
4303.629761733,5.34280252456665,-0.005208474583923817,9.75590991973877,1.0033508260676172e-05,-0.0016275218222290277,-0.0003983926144428551
4303.679761734,5.273414611816406,-0.004200289957225323,9.771465301513672,1.3337130440049805e-05,-0.0009249707218259573,-0.0004220584814902395
4303.729761735,5.203755855560303,0.011922851204872131,9.781927108764648,6.4461724832654e-05,-0.0005421721143648028,-8.722958591533825e-05
4303.779761736,5.2040629386901855,0.010077313520014286,9.818921089172363,3.7873192923143506e-05,-0.0004424109647516161,-6.06121966484352e-06
4303.829761736,5.20422887802124,0.0035976250655949116,9.841443061828613,9.91202614386566e-06,4.33345339843072e-05,2.7915499231312424e-05
4303.879761737,1.620246410369873,0.0011624153703451157,9.539161682128906,2.0633215171983466e-06,0.01086928229779005,1.855430696195981e-06
4303.929761738,-0.2638857066631317,-0.0004315690021030605,9.712404251098633,1.1348129191901535e-07,0.0073257749900221825,1.0868463505175896e-05
4303.979761739,0.1826872080564499,0.00020554014190565795,9.856257438659668,-1.3220942491898313e-06,0.007381693460047245,1.254535845873761e-06
4304.029761739,1.741231918334961,0.0003166018286719918,9.935851097106934,-1.8240541521663545e-08,0.0003924229822587222,6.956968263693852e-07
4304.07976174,2.370901584625244,-0.00047739874571561813,9.886141777038574,1.6794519979157485e-06,0.0007203579880297184,-4.17308256146498e-05
4304.129761741,2.0001559257507324,0.0016727063339203596,9.787461280822754,-4.168439318164019e-07,0.002131496090441942,5.392344974097796e-06
4304.179761742,-0.3420489430427551,-0.0011870992602780461,9.719267845153809,-2.309331193828257e-06,0.005634105298668146,-6.385253072949126e-06
4304.229761742,2.609280824661255,0.03374992683529854,10.008204460144043,0.00017357007891405374,-0.013192364946007729,0.0009409586200490594
4304.279761743,12.578997611999512,0.04553189128637314,10.272687911987305,8.807724952930585e-05,-0.018321633338928223,0.001426643691956997
4304.329761744,9.79419231414795,0.026789825409650803,9.630441665649414,3.923476469935849e-05,-0.007721050176769495,0.0016054579755291343
4304.379761744,4.174201965332031,0.014844076707959175,9.436046600341797,-1.9038698155782185e-06,0.00237870286218822,0.0016226109582930803
4304.429761745,3.283228874206543,0.014393477700650692,9.672847747802734,2.1242633010842837e-05,0.00344697292894125,0.001713043195195496
4304.479761746,2.120544195175171,-0.03070097044110298,9.729219436645508,-0.00019718066323548555,0.007692555896937847,0.000564688874874264
4304.529761747,0.44644320011138916,-0.042198050767183304,9.731213569641113,-0.00010165612184209749,0.008735237643122673,2.8636664865189232e-05
4304.579761747,-1.8890680074691772,-0.021126599982380867,9.726268768310547,-3.12680313072633e-05,0.012871118262410164,-0.00021681164798792452
4304.629761748,-2.7144734859466553,-0.01028023287653923,9.814106941223145,-1.7385573300998658e-05,0.009808321483433247,-0.0003547854139469564
4304.679761749,-3.7899153232574463,-0.006907734088599682,9.81339168548584,5.0846210797317326e-08,0.01199779100716114,-0.00041399255860596895
4304.72976175,-3.794253349304199,0.004850916564464569,9.878056526184082,3.683185059344396e-05,0.006153699941933155,-0.00021486695914063603
4304.77976175,-3.9878222942352295,0.00640255119651556,9.851760864257812,1.5493407772737555e-05,0.008155443705618382,-0.00013260480773169547
4304.829761751,-4.551366806030273,0.003587310202419758,9.803638458251953,5.517040335689671e-06,0.012752678245306015,-8.895039354683831e-05
